Variable_1,Variable_2,FDR,Copies
X32P_10H,Phylogroup,2.14234269238126e-11,207
X22P_2H,Phylogroup,4.67463001996453e-11,44
X22H_8P,Phylogroup,0.00997478691451521,246
X33H_19P,Phylogroup,3.1083946418152e-17,25
X70P_25H_77P,Phylogroup,5.91664108958554e-27,39
X5P_21H,Phylogroup,1.05737974788835e-21,235
X3P_7H_168P,Phylogroup,6.2122706025278e-08,8
X58P_18H,Phylogroup,1.49952224718725e-09,56
X63P_9H,Phylogroup,1.23168055536406e-10,10
X18H_21P,Phylogroup,0.003289088179393,73
X58P_18H_21P,Phylogroup,3.36762398329895e-06,69
X98P_22H_8P,Phylogroup,0.00650051061959786,4
X26H_1P,Phylogroup,2.99206476327118e-18,229
X124P_64H,Phylogroup,0.00650051061959786,4
X13H_30P,Phylogroup,4.5894250783289e-09,156
X87H_45P,Phylogroup,6.2122706025278e-08,8
X7P_16H,Phylogroup,6.97738608693998e-06,82
X3P_7H,Phylogroup,2.00726268001772e-20,232
X7P_16H_4P,Phylogroup,8.05666379546481e-14,153
X51H_39P,Phylogroup,0.00183885330587489,5
X65P_10H,Phylogroup,8.53386224436415e-24,18
X101P_2H,Country,0.00118334325608058,11
X40P_20H,Country,0.000894728661497444,21
X48P_61H,Country,3.10579590374736e-05,57
X9H_11P,Country,2.47350359743591e-10,85
X14H_27P,Acquisition,0.00307436561418482,103
X6P_4H_51P,Host,0.00200005698380451,10
X13H_30P,Host,0.00905977213604627,156
X6P_4H,Host,0.00204790684845107,123
X70P_25H_77P,Infection_status,2.7123704850308e-07,39
X5P_21H,Infection_status,4.37213714974826e-09,235
X46P_12H_105P,Infection_status,0.00205532599787797,26
X26H_1P,Infection_status,2.0647859974825e-07,229
X3P_7H,Infection_status,1.02827502109359e-10,232
X13P_3H_92P,iutA,1.15703324897761e-06,9
X46P_12H_105P,iutA,1.7415494570656e-23,26
X6P_4H,iutA,0.000254264305475231,123
X6P_4H_51P,fyuA,0.00204790684845107,10
X46P_12H_105P,fyuA,4.84329765532306e-05,26
X13P_3H,iucA,0.0052082657190074,57
X13P_3H_92P,iucA,1.22851043738374e-05,9
X46P_12H_105P,iucA,9.59705734298057e-23,26
X6P_4H,iucA,4.81070300177082e-05,123
X46P_12H_105P,iucC,3.41081009679652e-10,26
X80H_18P,iucD,0.00676016374633898,9
X13P_3H_92P,iucD,1.51022559678379e-07,9
X46P_12H_105P,iucD,9.65603054508157e-28,26
X6P_4H,iucD,2.7374101597175e-06,123
X13P_3H_92P,iucB,1.15703324897761e-06,9
X46P_12H_105P,iucB,1.7415494570656e-23,26
X6P_4H,iucB,0.000254264305475231,123
X98P_22H_8P,allA,0.00997478691451521,4
X46P_12H_105P,allA,0.000523143575924876,26
X98P_22H_8P,ybbW,0.00905977213604627,4
X46P_12H_105P,ybbW,0.000346140269557467,26
X98P_22H_8P,allB,0.00905977213604627,4
X46P_12H_105P,allB,0.000346140269557467,26
X98P_22H_8P,ybbY,0.00905977213604627,4
X46P_12H_105P,ybbY,0.000346140269557467,26
X98P_22H_8P,allC,0.00997478691451521,4
X46P_12H_105P,allC,0.000523143575924876,26
X98P_22H_8P,allD,0.00997478691451521,4
X46P_12H_105P,allD,0.000523143575924876,26
X98P_22H_8P,allS,0.00997478691451521,4
X46P_12H_105P,allS,0.000523143575924876,26
X98P_22H_8P,allR,0.00997478691451521,4
X46P_12H_105P,allR,0.000523143575924876,26
X6P_4H_51P,rmpA,0.00475526148151335,10
X13P_3H_92P,rmpA,1.53789002676607e-06,9
X46P_12H_105P,rmpA,1.56446419487583e-18,26
X13P_3H,clbB,2.22778102716006e-05,57
X46P_12H_105P,clbB,1.33895628365871e-12,26
X13P_3H,clbR,2.22778102716006e-05,57
X46P_12H_105P,clbR,1.33895628365871e-12,26
X13P_3H,clbO,6.08276002726013e-06,57
X47P_42H_28P,clbO,0.00709612047959501,36
X46P_12H_105P,clbO,2.14234269238126e-11,26
X13P_3H,clbC,2.22778102716006e-05,57
X46P_12H_105P,clbC,1.33895628365871e-12,26
X13P_3H,clbP,2.22778102716006e-05,57
X46P_12H_105P,clbP,1.33895628365871e-12,26
X46P_12H_105P,clbK,0.000169804221405941,26
X13P_3H,clbL,2.22778102716006e-05,57
X46P_12H_105P,clbL,1.33895628365871e-12,26
X13P_3H,clbM,2.22778102716006e-05,57
X46P_12H_105P,clbM,1.33895628365871e-12,26
X13P_3H,clbG,2.22778102716006e-05,57
X46P_12H_105P,clbG,1.33895628365871e-12,26
X13P_3H,clbH,2.22778102716006e-05,57
X46P_12H_105P,clbH,1.33895628365871e-12,26
X13P_3H,clbF,2.22778102716006e-05,57
X46P_12H_105P,clbF,1.33895628365871e-12,26
X13P_3H,clbN,2.22778102716006e-05,57
X46P_12H_105P,clbN,1.33895628365871e-12,26
X13P_3H,clbD,2.22778102716006e-05,57
X46P_12H_105P,clbD,1.33895628365871e-12,26
X13P_3H,clbA,2.22778102716006e-05,57
X46P_12H_105P,clbA,1.33895628365871e-12,26
X13P_3H,clbQ,2.22778102716006e-05,57
X46P_12H_105P,clbQ,1.33895628365871e-12,26
X13P_3H,clbE,9.28987555116844e-05,57
X46P_12H_105P,clbE,2.14234269238126e-11,26
X13P_3H,clbI,9.28987555116844e-05,57
X46P_12H_105P,clbI,2.14234269238126e-11,26
X46P_12H_105P,pcoA,0.000155972709981803,26
X48P_61H,pcoA,0.000372848173797851,57
X6P_4H,pcoA,0.00504507653352152,123
X46P_12H_105P,pcoE,0.000182904044408818,26
X48P_61H,pcoE,0.000483902003013959,57
X6P_4H,pcoE,0.000733441990997907,123
X46P_12H_105P,pcoS,0.000443034606295758,26
X6P_4H,pcoS,0.00329399085098338,123
X46P_12H_105P,pcoC,0.00237070431335401,26
X48P_61H,pcoC,0.00157546111073208,57
X46P_12H_105P,pcoD,0.00237070431335401,26
X48P_61H,pcoD,0.00157546111073208,57
X46P_12H_105P,pcoB,0.000216568743463259,26
X48P_61H,pcoB,0.00252806687425405,57
X6P_4H,pcoB,0.00370615429821785,123
X46P_12H_105P,pcoR,0.00237070431335401,26
X48P_61H,pcoR,0.00157546111073208,57
X32P_10H,mrkJ,0.000523143575924876,207
X5P_21H,mrkJ,0.00393880622581326,235
X3P_7H,mrkJ,2.02068779504462e-08,232
X7P_16H_4P,mrkJ,0.000108926809532577,153
X22P_2H,mrkJ2,3.94479374599639e-08,44
X33H_19P,mrkJ2,3.09473244770917e-15,25
X70P_25H_77P,mrkJ2,7.16769565503034e-14,39
X3P_7H_168P,mrkJ2,3.9512518860781e-07,8
X58P_18H,mrkJ2,3.06917529335518e-06,56
X63P_9H,mrkJ2,1.63154348156445e-09,10
X87H_45P,mrkJ2,3.9512518860781e-07,8
X65P_10H,mrkJ2,1.56063005793619e-20,18
X5P_21H,mrkI,6.15275339985925e-12,235
X18H_21P,mrkI,0.00147787438601776,73
X26H_1P,mrkI,9.97531271345032e-08,229
X3P_7H,mrkI,4.40198599367782e-13,232
X7P_16H_4P,mrkI,5.46152347460569e-05,153
X70P_25H_77P,mrkI2,2.67512572596589e-09,39
X58P_18H_21P,mrkI2,2.22778102716006e-05,69
X98P_22H_8P,mrkI2,0.00256808743195424,4
X124P_64H,mrkI2,0.00256808743195424,4
X7P_16H,mrkI2,1.6984287084169e-05,82
X22P_2H,mrkI3,8.66337427821722e-07,44
X33H_19P,mrkI3,3.65495976557122e-10,25
X70P_25H_77P,mrkI3,1.83352745713794e-07,39
X3P_7H_168P,mrkI3,5.09063806713429e-07,8
X58P_18H,mrkI3,1.65438782113925e-05,56
X63P_9H,mrkI3,7.84953619338139e-08,10
X51H_39P,mrkI3,0.00341190659183689,5
X65P_10H,mrkI3,6.83336360085374e-15,18
X33H_19P,kfuB,1.77886519516635e-06,25
X70P_25H_77P,kfuB,3.84710573378336e-11,39
X6H_17P,kfuB,4.92678175175728e-06,119
X65P_10H,kfuB,1.25139484776594e-05,18
X22P_2H,kfuC,0.00127927505581631,44
X33H_19P,kfuC,0.00014391833886141,25
X15H_16P,kfuC,0.000587276141832634,96
X47P_42H_28P,kfuC,0.0033146919687201,36
X3P_7H_168P,kfuC,0.00709641980013278,8
