Variable_1,Variable_2,FDR,Copies
X32P_10H,phylo,7.04110475405478e-13,207
X22P_2H,phylo,1.45522486253685e-12,207
X22H_8P,phylo,0.000846238896027768,207
X33H_19P,phylo,4.91269268102975e-19,207
X70P_25H_77P,phylo,5.1005526634358e-29,207
X47P_42H_28P,phylo,0.00242554551120498,207
X5P_21H,phylo,1.67114615327182e-23,207
X3P_7H_168P,phylo,1.79788619654438e-09,207
X58P_18H,phylo,4.34814444717308e-11,207
X63P_9H,phylo,3.61009817951536e-12,207
X18H_21P,phylo,0.000259913577394561,207
X58P_18H_21P,phylo,1.22898921229588e-07,207
X98P_22H_8P,phylo,0.000490340240702425,207
X26H_1P,phylo,4.90079573294417e-20,207
X124P_64H,phylo,0.000490340240702425,207
X111P_42H,phylo,0.00104793309758614,207
X13H_30P,phylo,1.35177031761124e-10,207
X87H_45P,phylo,1.79788619654438e-09,207
X7P_16H,phylo,2.49997938998657e-07,207
X48P_61H,phylo,0.00326034146549149,207
X3P_7H,phylo,3.02819800864743e-22,207
X7P_16H_4P,phylo,1.88517995214078e-15,207
X51H_39P,phylo,0.000127749950763113,207
X199P_74H,phylo,0.00242554551120498,207
X65P_10H,phylo,5.51758334764923e-26,207
