Phylogroup,Country,Acquisition,Host,Infection_status,iutA,fyuA,iucA,iucC,iucD,iucB,allA,ybbW,allB,ybbY,allC,allD,allS,allR,kvgS,kvgA,rmpA2,rmpA,clbB,clbR,clbO,clbC,clbJ,clbP,clbK,clbL,clbM,clbG,clbH,clbF,clbN,clbD,clbA,clbQ,clbE,clbI,pcoA,pcoE,pcoS,pcoC,pcoD,pcoB,pcoR,mrkC,mrkD,mrkJ,mrkJ2,mrkH2,mrkB,mrkF,mrkA,mrkI,mrkI2,mrkI3,mrkI4,kfuB,kfuC,kfuA,pbrA,pbrR,pbrBC,mceI,mceG,mceJ,mceH,mceD,mceC,mceE,mceA,mceB,iroN,iroD,iroB,iroC,silE,silC,silS,silR,terZ,terD,terE,terW,terB,terA,terC,terX,terY,gcl,fdrA,ylbE,KP1_1364,glxK,arcC,glxR,ylbF,KP1_1371,hyi,irp1,ybtQ,ybtP,ybtE,ybtS,ybtX,irp2,ybtU,ybtA,ybtT,Aac3_IIa_AGly.match,Aac3_I_AGly.match,Aac6_32_AGly_1.match,Aac6_Ia_AGly.match,Aac6_Iaa_AGly.match,Aac6_Iai_e_AGly.match,AacAad_AGly.match,AacAad_AGly_3.match,AadA4_5_AGly.match,AadA_AGly.match,AadA_AGly_2.match,AadB_AGly.match,Aph3__Ia_AGly.match,Aph4_Ia_AGly.match,AphA6_AGly.match,ArmA_AGly.match,RmtB_AGly.match,RmtC_AGly.match,RmtF_AGly.match,StrA_AGly.match,StrB_AGly.match,OqxA_Flq.match,OqxBgb_Flq.match,QnrB_Flq.match,QnrB_Flq_1.match,QnrB_Flq_2.match,Qnr_A_Flq.match,Qnr_S_Flq_1.match,CatA1_Phe.match,CatA2_Phe.match,CatBx_Phe.match,CatBx_Phe_1.match,CmlA_Phe.match,FloR_Phe.match,SulIII_Sul.match,SulII_Sul.match,SulI_Sul.match,TetA_Tet.match,TetB_Tet.match,TetC_Tet.match,TetD_Tet.match,TetG_Tet.match,TetRG_Tet.match,TetR_Tet.match,Arr_Rif.match,Dfr16_Tmt.match,Dfr23_Tmt.match,DfrA19_Tmt.match,DfrA1_Tmt.match,DfrA1_Tmt_1.match,DfrA25_Tmt.match,DfrA27_Tmt.match,DfrA5_Tmt.match,DfrA5_Tmt_1.match,DfrA7_Tmt.match,DfrA7_Tmt_1.match,DfrA_Tmt.match,DfrA_Tmt_1.match,DfrB_Tmt.match,EreA_MLS.match,ErmB_MLS.match,MefB_MLS.match,MphA_MLS.match,MsrE_MLS.match,MphE_MLS.match,ACT_MIR_Bla_3.match,AmpH_Bla.match,CARB_Bla.match,CMY_Bla_1.match,CMY_MOX_Bla_1.match,CTX_M_1_Bla.match,CTX_M_8_Bla_1.match,CTX_M_9_Bla.match,DHA_Bla.match,IMP_1_Bla_3.match,KPC_1_Bla.match,NDM_1_Bla.match,OXA_1_Bla.match,OXA_48_Bla.match,OXA_7_Bla.match,OXA_9_Bla.match,SCO_1_Bla.match,SHV_OKP_LEN_Bla.match,SHV_OKP_LEN_Bla_1.match,SHV_OKP_LEN_Bla_2.match,TEM_1D_Bla.match,VEB_1_Bla.match,Col156.match,ColE10.match,ColRNAI.match,Col_IRGK_.match,Col_MG828_.match,Col_MGD2_.match,ColpVC.match,IncA_C..match,IncFI..match,IncFIA_HI1_.match,IncFIB_AP001918_.match,IncFIB_K_.match,IncFIB_Mar_.match,IncFIB_pKPHS1_.match,IncFIB_pQil_.match,IncFII.match,IncFII_..match,IncFII_K_.match,IncFII_pCRY_.match,IncFII_pKPX1_.match,IncFII_pMET_.match,IncHI1B.match,IncHI2.match,IncHI2A.match,IncI1.match,IncL_M..match,IncL_M_pMU407_.match,IncN.match,IncQ1.match,IncR.match,IncX3.match,rep..match,repA_1.match
X5H_15P,0.999999999999999,0.999999999999869,1,0.262548262548295,0.20849420849423,0.876447876447876,0.768339768339768,0.8996138996139,0.918918918918919,0.8996138996139,0.876447876447876,0.903474903474903,0.907335907335907,0.907335907335907,0.907335907335907,0.903474903474903,0.903474903474903,0.903474903474903,0.903474903474903,0.942084942084942,0.942084942084942,0.996138996138996,0.872586872586873,0.934362934362934,0.934362934362934,0.938223938223938,0.934362934362934,0.988416988416988,0.934362934362934,0.976833976833977,0.934362934362934,0.934362934362934,0.934362934362934,0.934362934362934,0.934362934362934,0.934362934362934,0.934362934362934,0.934362934362934,0.934362934362934,0.938223938223938,0.938223938223938,1,1,0.447876447876448,1,1,1,1,1,1,1,0.915057915057915,1,1,1,1,1,0.934362934362934,0.94980694980695,1,0.667953667953668,0.706563706563707,0.606177606177606,0.907335907335907,0.903474903474903,0.911196911196911,0.945945945945946,0.945945945945946,0.945945945945946,0.94980694980695,0.942084942084942,0.942084942084942,0.942084942084942,0.942084942084942,0.942084942084942,0.872586872586873,0.868725868725869,0.872586872586873,0.903474903474903,1,1,1,1,0.795366795366795,0.799227799227799,0.795366795366795,0.795366795366795,0.795366795366795,0.795366795366795,0.795366795366795,0.810810810810811,0.810810810810811,0.903474903474903,0.903474903474903,0.903474903474903,0.911196911196911,0.907335907335907,0.903474903474903,0.907335907335907,0.903474903474903,0.903474903474903,0.915057915057915,0.826254826254826,0.764478764478765,0.764478764478765,0.768339768339768,0.764478764478765,0.772200772200772,0.791505791505792,0.764478764478765,0.768339768339768,0.764478764478765,0.752895752895753,1,1,0.996138996138996,1,0.992277992277992,1,0.911196911196911,0.976833976833977,0.783783783783784,0.83011583011583,0.93050193050193,0.88030888030888,0.988416988416988,1,1,0.972972972972973,1,1,0.749034749034749,0.749034749034749,1,1,0.996138996138996,0.992277992277992,0.965250965250965,0.972972972972973,0.841698841698842,0.903474903474903,0.915057915057915,0.953667953667954,1,0.934362934362934,0.953667953667954,0.976833976833977,0.752895752895753,0.764478764478765,0.826254826254826,0.976833976833977,1,0.857142857142857,0.965250965250965,0.965250965250965,0.822393822393822,0.934362934362934,0.969111969111969,0.972972972972973,0.992277992277992,0.996138996138996,0.965250965250965,0.996138996138996,0.996138996138996,0.891891891891892,0.969111969111969,0.980694980694981,1,0.996138996138996,0.903474903474903,1,1,1,0.984555984555985,0.872586872586873,1,1,1,1,0.988416988416988,0.992277992277992,0.992277992277992,0.918918918918919,0.996138996138996,0.922779922779923,0.957528957528958,0.992277992277992,1,1,0.942084942084942,1,0.965250965250965,1,0.992277992277992,0.776061776061776,0.444015444015444,0.93050193050193,0.803088803088803,0.965250965250965,0.996138996138996,0.996138996138996,0.918918918918919,0.996138996138996,0.996138996138996,0.988416988416988,0.972972972972973,0.953667953667954,0.957528957528958,0.857142857142857,0.996138996138996,0.633204633204633,0.969111969111969,0.915057915057915,0.969111969111969,0.826254826254826,0.992277992277992,0.694980694980695,0.992277992277992,0.984555984555985,0.996138996138996,1,0.965250965250965,0.969111969111969,0.996138996138996,0.972972972972973,0.965250965250965,0.934362934362934,0.996138996138996,0.760617760617761,0.988416988416988,0.996138996138996,0.980694980694981
X215P_84H,1,1,0.72443207326951,0.456915387148053,0.0847325731046902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.836580766813325,0.839693514112119,0.800365149202359,0.836580766813325,0.836580766813325,0.842776331148424,0.836580766813325,0.822932567118614,0.939061985573614,0.760976923767621,1,0.909311304660142,0.85839992816737,0.916704079494777,0.995420669839274,0.707940498638173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833438089252043,0.839693514112119,1,0.836580766813325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.433869085031876,1,1,1,1,1,1,1,1,0.386339828200293,1,1,1,1,1,1,1,1,1,1,1,0.721020023345605,0.802011313639221,1,1,1,1,0.292059501361827,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.865583191164586,1,1,1,1,1,0.148753404567358,1,1,1,1,1,1,1,1,1,1,0.308161982580588,1,1,1,1,1,1,1,1,1,1,1,1,0.26578073089701,1,0.599952111580018,1,0.162970279249348,1,0.317859387626829,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X32P_10H,2.17485861129105e-14,0.0724139785493959,0.149740877767792,0.955160112705441,0.111618085512345,0.0238172875383081,0.175227594899058,0.0719241446960984,0.0497759539991394,0.0719241446960984,0.0238172875383081,0.00269549835744132,0.00346143231693285,0.00346143231693285,0.00346143231693285,0.00269549835744132,0.00269549835744132,0.00269549835744132,0.00269549835744132,0.646739667154846,0.646739667154846,0.7992277992278,0.0658670946097143,0.0192848979368982,0.0192848979368982,0.0245352366422318,0.0192848979368982,0.509024672901247,0.0192848979368982,0.256804450504287,0.0192848979368982,0.0192848979368982,0.0192848979368982,0.0192848979368982,0.0192848979368982,0.0192848979368982,0.0192848979368982,0.0192848979368982,0.0192848979368982,0.0245352366422318,0.0245352366422318,0.325378737569139,0.302671282969456,0.351960685366476,0.325378737569139,0.325378737569139,0.280646576928402,0.325378737569139,0.343917229754953,1,2.06910055929765e-06,0.999999999997409,1,0.776101151180885,1,0.910269441830796,0.0156453208186457,0.108540655927568,1,1,0.770491210832841,0.992122405861246,0.971250123361226,0.026938973249173,0.0218438473447294,0.0331414857522176,0.0395810785425468,0.0395810785425468,0.0395810785425468,0.0501904398013737,0.0311801965661695,0.0311801965661695,0.0311801965661695,0.0311801965661695,0.0311801965661695,0.0658670946097143,0.0558384016842772,0.0658670946097143,0.0855329211502747,0.47031300746098,0.419993131734487,0.34869553788371,0.445071645850603,0.111102381525089,0.0587363301850746,0.111102381525089,0.111102381525089,0.111102381525089,0.111102381525089,0.111102381525089,0.089259338968722,0.089259338968722,0.00269549835744132,0.00269549835744132,0.00269549835744132,0.00443966318910952,0.00346143231693285,0.00269549835744132,0.00346143231693285,0.00269549835744132,0.00269549835744132,0.00568756851794032,0.0257134515224373,0.157515652833781,0.157515652833781,0.175227594899058,0.157515652833781,0.194310238213337,0.186886988591797,0.157515652833781,0.175227594899058,0.157515652833781,0.727398202657996,1,1,0.7992277992278,1,0.638143126515221,1,0.492887752350335,0.653452908708929,0.888523126309848,0.931468349952633,0.259021437994484,0.0907459506607587,0.992278691038984,1,1,0.573496104881116,1,1,0.890052472898393,0.890052472898393,0.544772365403666,0.467691931828956,1,0.960312471940379,0.738238150188584,0.573496104881116,0.914358400596452,0.786638784560817,0.736115568688235,0.554164918318539,1,0.543893708665741,0.265975187790954,0.90257940339411,0.727398202657996,0.681843978418531,0.270678731799581,0.653452908708929,1,0.994683409762428,0.430288411143159,0.430288411143159,0.245089136039623,0.543893708665741,0.498721686486587,0.573496104881116,0.638143126515221,0.7992277992278,0.91698177981694,0.7992277992278,1,0.297847221596768,0.797819360064702,0.322912526871727,1,0.7992277992278,0.986912827373969,1,1,1,0.40562903621818,0.906073242803478,1,1,1,0.740978562005516,0.509024672901247,0.638143126515221,0.960312471940379,0.582398267931323,0.7992277992278,0.920262817970728,0.614810905382425,0.960312471940379,1,1,0.389083750869047,1,0.430288411143159,1,0.638143126515221,0.0233950862237825,0.981058705589107,0.015141035570292,0.395220922460501,0.430288411143159,1,0.7992277992278,0.0497759539991394,0.7992277992278,0.7992277992278,0.509024672901247,0.204022508108149,0.265975187790954,0.314006809545551,0.350685421523778,0.7992277992278,0.679245427795485,0.498721686486587,0.140843766632436,0.498721686486587,0.423689461740744,0.960312471940379,0.127813533116482,1,0.819211582950442,0.7992277992278,0.278218404872823,0.738238150188584,0.797819360064702,0.7992277992278,0.204022508108149,0.738238150188584,0.108540655927568,0.7992277992278,0.774626653150012,0.509024672901247,0.7992277992278,0.736495073603989
X22P_2H,5.05676593159523e-14,0.0019076281284075,0.606693947664422,0.171650847405255,0.200292703009832,0.939150955923355,0.997776966564505,0.957957390290548,0.983197990443459,0.957957390290548,0.939150955923355,1,1,1,1,1,1,1,1,1,1,1,0.947720028719966,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999952835871122,0.999963183419311,0.999449957437058,0.999952835871122,0.999952835871122,0.999971386518581,0.999952835871122,0.613934687520949,0.593493877449415,0.999999913632268,5.90852478264671e-11,0.364023399347332,0.0252162027253577,0.718411595897686,0.0308482480041178,0.991380443592822,1,1.64363045486081e-09,1,0.0011356276015018,5.57882444817297e-06,0.000325601513777888,0.941020980864943,0.950152593320223,0.930365461581525,1,1,1,1,1,1,1,1,1,0.947720028719966,0.955187084018755,0.947720028719966,0.950152593320223,0.999939839548636,0.999963183419311,0.999939839548636,0.999952835871122,0.929782601094257,0.920561121893698,0.929782601094257,0.929782601094257,0.929782601094257,0.929782601094257,0.929782601094257,0.886693023708404,0.886693023708404,1,1,1,1,1,1,1,1,1,1,0.992859769516046,0.998152359289509,0.998152359289509,0.997776966564505,0.998152359289509,0.997330626975436,0.993534074641246,0.998152359289509,0.997776966564505,0.998152359289509,0.998951757668695,1,1,1,1,0.311454311454311,1,0.988846916253306,1,0.983212871721684,0.991476558800233,0.845758759979411,0.982570141745472,1,1,1,1,1,1,0.999859777074813,0.999859777074813,0.667821301362197,0.289819790780249,1,1,1,1,0.997372796453651,0.992625209391296,0.986304244311055,1,1,0.962296585772745,0.898550855919596,1,0.998951757668695,0.999673820636688,0.998822280824248,0.676702019389398,1,0.972154903670192,0.818202387681688,0.818202387681688,0.999040112588269,1,0.406506122550585,1,1,1,1,1,1,0.891046139325946,0.77955941694736,1,1,1,1,1,1,1,1,0.998645676624275,1,1,1,0.154241240020589,0.0756876943647373,0.311454311454311,1,1,1,0.979406767774291,1,1,1,1,1,1,1,1,0.311454311454311,0.912235927112105,0.0886470144640877,1,0.964799667821823,1,1,1,1,1,1,0.429337619999098,1,0.635976600652668,0.876669667980685,0.631999704288777,0.169884169884169,0.999024243824677,0.77955941694736,0.917966659223948,0.137872051705061,0.972111608778837,0.311454311454311,0.923368153785632,1,1,1,0.899085939550414,1,1,1,1,1,0.962296585772745,1,0.99846740936645,1,0.169884169884169,1
X202P_63H,1,0.680793750561348,0.525904642183862,1,0.508634880728051,1,0.410343898715992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.352608422375864,0.357217682799078,0.303881955044746,0.352608422375864,0.352608422375864,0.36185687348478,0.352608422375864,0.822932567118614,0.939061985573614,0.760976923767621,1,0.909311304660142,0.85839992816737,0.916704079494777,0.865583191164586,0.707940498638173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.348029092215139,0.357217682799078,0.348029092215139,0.352608422375864,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416270090688695,0.416270090688695,0.410343898715992,0.416270090688695,0.4043877764808,0.374158211367513,0.416270090688695,0.410343898715992,0.416270090688695,0.0603394091766185,1,1,1,1,1,1,0.170033821196611,1,0.386339828200293,0.311454311454312,1,0.0139175720571069,1,1,1,1,1,1,0.439675555954626,0.439675555954626,0.721020023345605,0.802011313639221,1,0.0154140851815258,0.0684205800484867,1,0.292059501361827,0.184071114303672,1,0.0906886953398574,1,1,1,1,0.433869085031876,0.0547723803537757,0.317859387626829,1,1,0.26578073089701,1,1,0.324234533536859,0.00407051569842268,1,1,1,1,1,1,1,0.2049025769956,0.0609380144263858,1,1,1,1,1,1,1,1,0.0158031785938763,1,1,1,0.865583191164586,1,1,1,1,1,1,0.0832959205052216,1,1,1,0.112687438268834,1,1,1,1,1,0.308161982580588,1,0.355661309149682,1,1,1,1,1,1,1,1,1,1,1,1,0.599952111580018,1,1,1,1,1,0.517823471311844,1,1,1,0.349435814552093,1,1,1,1,1,1,1,0.0565981263655682,1,1,1
X101P_2H_171P,0.999999999999999,0.366795366795405,0.617760617760684,0.999999999999869,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.594594594594595,0.598455598455598,0.552123552123552,0.594594594594595,0.594594594594595,0.602316602316602,0.594594594594595,0.907335907335907,0.969111969111969,0.872586872586873,1,0.953667953667954,0.926640926640927,0.957528957528958,0.93050193050193,0.841698841698842,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.590733590733591,0.598455598455598,0.590733590733591,0.594594594594595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.247104247104247,1,1,1,1,1,1,1,1,1,1,1,0.11969111969112,1,1,1,1,1,1,0.250965250965251,0.250965250965251,0.849420849420849,0.895752895752896,1,1,1,1,1,1,0.0849420849420851,1,1,1,1,1,0.247104247104247,1,1,1,1,0.142857142857143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93050193050193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.555984555984556,1,0.196911196911197,1,1,1,1,1,1,1,1,1,1,1,1,0.366795366795367,1,1,1,1,1,0.305019305019305,1,1,1,1,1,1,1,0.0270270270270287,0.0347490347490338,1,0.00386100386100585,1,1,1,1
X160P_122H,1,0.280296908203964,0.194217473287299,1,0.642872107988573,0.0148454101942474,0.0529765646044716,1,0.155876807039598,1,0.0148454101942474,1,1,1,1,1,1,1,1,1,1,1,0.239023076232378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.836580766813325,0.839693514112119,0.800365149202359,0.836580766813325,0.836580766813325,0.842776331148424,0.836580766813325,0.822932567118614,0.939061985573614,0.760976923767621,1,0.909311304660142,0.85839992816737,0.916704079494777,0.865583191164586,0.707940498638173,1,1,1,0.109395109395109,0.0853012480919457,0.154170782077759,1,1,1,0.105384454221663,0.105384454221663,0.105384454221663,0.0980515399120058,0.112687438268834,0.112687438268834,0.112687438268834,0.112687438268834,0.112687438268834,0.239023076232378,0.245757385292269,0.239023076232378,1,0.833438089252043,0.839693514112119,0.833438089252043,0.836580766813325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.317859387626829,0.0547723803537757,0.0547723803537757,0.0529765646044716,0.0547723803537757,0.0512106791176558,0.0428302056209033,0.0547723803537757,0.0529765646044716,0.0547723803537757,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.721020023345605,0.802011313639221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.317859387626829,1,1,1,1,1,0.324234533536859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.865583191164586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.803807129388525,1,0.355661309149682,1,1,1,1,1,1,1,1,1,1,1,1,0.133638622010715,1,1,1,0.029630959863518,1,1,1,1,1,1,1,1,1,1,1,0.127203615575709,1,1,1,1,1
X93P_23H,1,0.333906999623645,0.260999531062161,0.299258166430123,0.162908173119864,1,0.735367952856672,1,1,1,1,1,1,1,1,1,1,1,1,0.259701258507595,0.259701258507595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.674470040011055,0.681224198250373,0.597775286230999,0.674470040011055,0.674470040011055,0.687935060603541,0.674470040011055,0.612501090658011,0.853746570659167,0.502995470199662,1,0.78733853091369,0.681104437167237,0.80353891220821,0.69553461592078,0.970567343753394,1,1,1,0.869601214263179,0.826741779495673,0.920212407401067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.667674152638749,0.681224198250373,0.667674152638749,0.674470040011055,0.684887292617928,0.677087473128273,0.684887292617928,0.684887292617928,0.684887292617928,0.684887292617928,0.684887292617928,0.652756805813889,0.652756805813889,1,1,1,1,1,1,1,1,1,1,0.618057269418172,0.742016999267308,0.742016999267308,0.735367952856672,0.742016999267308,0.728582515750432,0.692535659301959,0.742016999267308,0.735367952856672,0.742016999267308,0.761166354789769,1,1,1,1,1,1,1,1,0.707386878053992,0.60896339488051,1,0.474143870325744,1,1,1,1,1,1,0.10247412667875,0.10247412667875,0.439141049180998,0.913981002985292,1,1,1,1,1,1,1,1,1,1,1,1,0.761166354789769,1,0.618057269418172,0.0043510128967028,1,1,1,1,0.626981164992514,1,1,1,1,1,1,1,1,1,1,1,1,1,0.400530847441095,1,1,1,1,0.497004529800337,1,1,1,0.959661685257785,1,1,1,1,1,0.333085238607081,1,1,1,1,1,1,1,1,1,0.721658600335903,0.877010668055995,1,0.669133962614191,1,1,1,0.0540414053882858,1,1,1,0.128971110096721,1,1,1,1,0.900491635902858,1,1,1,1,1,0.482962344188887,1,1,1,0.661024500913558,1,1,1,0.128971110096721,0.0101981989569019,1,1,0.0906119372798094,1,1,0.0935668719561382
X186P_68H,0.139534883720956,0.452695220137176,0.339409176618576,0.456915387148053,0.3545838197002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.822932567118614,0.939061985573614,0.984196821406124,0.162970279249348,0.909311304660142,0.85839992816737,0.916704079494777,0.865583191164586,0.97545718475951,1,0.0980515399120058,1,0.554697554697555,0.501571338780641,0.633474005567029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.977821675496094,0.802011313639221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.865583191164586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.308161982580588,1,1,1,1,1,1,1,1,1,1,1,1,0.0199335548172757,1,0.599952111580018,1,0.162970279249348,1,0.317859387626829,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X62P_37H,0.00985539469384644,0.957337616722219,0.128342081763292,1,0.282815936847385,0.650959803395273,0.507347827540894,1,0.999999999999979,1,0.650959803395273,1,1,1,1,1,1,1,1,0.999999999999988,0.999999999999988,0.999999999999869,0.651152006146755,0.999999999999993,0.999999999999993,1,0.999999999999993,0.999999999999894,0.999999999999993,1,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,0.999999999999993,1,1,0.246658862101996,0.823430516151353,0.134231230457988,0.246658862101996,0.246658862101996,0.324543255789895,0.246658862101996,0.00313291830630259,0.00610128412167411,0.00106537098423601,0.187649109015192,0.00151853314574586,0.461111926908593,0.29678064362598,0.0344643488055209,0.000247298775230795,0.00452725622064787,0.341506753924245,1,0.379446094754608,0.772042847349504,0.660329319954273,0.545796733570201,0.561258972427193,0.529859776853254,1,1,1,1,0.999999999999988,0.999999999999988,0.999999999999988,0.999999999999988,0.999999999999988,0.651152006146755,0.651713306217337,0.651152006146755,1,0.245743077300519,0.247787498718932,0.245743077300519,0.246658862101996,0.999999999999991,1,0.999999999999991,0.999999999999991,0.999999999999991,0.999999999999991,0.999999999999991,0.999999999999932,0.999999999999932,1,1,1,1,1,1,1,1,1,1,0.67702891320206,0.391209577524782,0.391209577524782,0.507347827540894,0.391209577524782,0.50327556568995,0.486140017569368,0.391209577524782,0.507347827540894,0.391209577524782,0.296863817850051,1,1,0.999999999999869,1,1,1,1,1,0.492309722005532,0.673578367402957,1,0.999999999999946,0.999999999999894,1,1,0.999999999999969,1,1,0.530412513269097,0.530412513269097,0.000182208574474967,0.00497060020392728,0.999999999999869,1,1,0.199288758307788,0.227689455991623,1,0.51343566425416,1,1,0.999999999999993,1,1,0.396430487969015,1,0.67702891320206,1,1,1,1,1,0.472379944184166,0.999999999999993,1,0.999999999999969,0.0609380144264034,0.999999999999869,1,0.999999999999869,0.999999999999869,1,1,0.999999999999995,1,0.999999999999869,1,1,1,1,1,0.651152006146755,1,1,1,0.442609332124353,0.999999999999894,1,1,0.999999999999979,0.999999999999869,1,1,1,1,1,0.999999999999988,1,1,1,1,1,0.571383355449411,0.00539264269048655,0.700902326422124,1,0.999999999999869,0.999999999999869,0.999999999999979,0.999999999999869,0.999999999999869,0.000633426839200312,0.999999999999969,1,1,0.369372585502556,0.999999999999869,0.531003101373424,0.224708162806009,0.51343566425416,1,0.0750866467749158,1,0.0826799167075143,1,0.118601718550293,0.999999999999869,1,0.249418659609003,1,0.999999999999869,0.999999999999969,1,0.423553240914843,0.999999999999869,1,0.999999999999894,0.999999999999869,0.999999999999995
