Variable_1,Variable_2,FDR,Copies
X2H.PemK_toxin,Phylogroup,9.02589879100788e-10,64
X7H.Fic,Phylogroup,2.20091205376782e-15,240
X9H.Zeta_toxin,Phylogroup,2.6124985860121e-05,95
X13H.Gp49,Phylogroup,2.72211831047356e-09,156
X16H.ParE_toxin.ParE.like_toxin,Phylogroup,0.000423782077398565,235
X17H.RelE,Phylogroup,2.68997737516238e-05,249
X21H.PIN,Phylogroup,4.88393262890731e-23,237
X25H.Gp49,Phylogroup,5.52956592084671e-29,40
X26H.ParE_toxin,Phylogroup,8.81328346411925e-19,230
X33H.RelE,Phylogroup,8.18389404149249e-17,26
X37H.AntA.Bro.N,Phylogroup,0.00842345225440483,37
X42H.YdaT_toxin,Phylogroup,0.0018623759571263,63
X51H.HigB_toxin,Phylogroup,9.27454842306113e-05,7
X64H.Fic,Phylogroup,0.00191666695494768,5
X87H.HicA_toxin,Phylogroup,3.40497630692486e-08,8
X9H.Zeta_toxin,Country,4.17548646253106e-10,95
X20H.DUF4111.NTP_transf_2,Country,0.00545483679911505,30
X61H.CcdB,Country,1.86238202341112e-05,57
X14H.Gp49,Acquisition,0.00197252530634414,103
X4H.PIN,Host,0.000798791877342063,139
X13H.Gp49,Host,0.0061241193141699,156
X3H.RES,Infection_status,0.000185653334513321,70
X7H.Fic,Infection_status,1.91278811884697e-08,240
X12H.RES,Infection_status,0.00125899839263954,26
X21H.PIN,Infection_status,9.3377962344309e-10,237
X25H.Gp49,Infection_status,3.58305900537834e-08,40
X26H.ParE_toxin,Infection_status,7.18854720283832e-08,230
X3H.RES,iutA,4.13905294464285e-08,70
X4H.PIN,iutA,9.27454842306113e-05,139
X12H.RES,iutA,1.16103297137707e-23,26
X12H.RES,fyuA,2.91586287412307e-05,26
X3H.RES,iucA,9.48952390348187e-11,70
X4H.PIN,iucA,0.000510563108140766,139
X12H.RES,iucA,5.48403276741747e-23,26
X3H.RES,iucC,0.000211171841469152,70
X12H.RES,iucC,2.19653076528393e-10,26
X3H.RES,iucD,2.45354864545976e-09,70
X4H.PIN,iucD,4.26036226631456e-05,139
X12H.RES,iucD,2.75886587002331e-28,26
X80H.Phage_pRha,iucD,0.00454768779495714,9
X3H.RES,iucB,4.13905294464285e-08,70
X4H.PIN,iucB,9.27454842306113e-05,139
X12H.RES,iucB,1.16103297137707e-23,26
X12H.RES,allA,0.000321131178234609,26
X21H.PIN,allA,0.000760088696631523,237
X12H.RES,ybbW,0.000211171841469152,26
X21H.PIN,ybbW,0.00443860003096966,237
X12H.RES,allB,0.000211171841469152,26
X21H.PIN,allB,0.00443860003096966,237
X12H.RES,ybbY,0.000211171841469152,26
X21H.PIN,ybbY,0.00443860003096966,237
X12H.RES,allC,0.000321131178234609,26
X21H.PIN,allC,0.000760088696631523,237
X12H.RES,allD,0.000321131178234609,26
X21H.PIN,allD,0.000760088696631523,237
X12H.RES,allS,0.000321131178234609,26
X21H.PIN,allS,0.000760088696631523,237
X12H.RES,allR,0.000321131178234609,26
X21H.PIN,allR,0.000760088696631523,237
X3H.RES,rmpA,9.3030053572643e-06,70
X4H.PIN,rmpA,3.74719053192133e-05,139
X12H.RES,rmpA,8.93979539929044e-19,26
X3H.RES,clbB,7.21100797830526e-07,70
X12H.RES,clbB,8.101248102809e-13,26
X3H.RES,clbR,7.21100797830526e-07,70
X12H.RES,clbR,8.101248102809e-13,26
X3H.RES,clbO,6.76954130997129e-08,70
X12H.RES,clbO,1.25244391477555e-11,26
X3H.RES,clbC,7.21100797830526e-07,70
X12H.RES,clbC,8.101248102809e-13,26
X3H.RES,clbP,7.21100797830526e-07,70
X12H.RES,clbP,8.101248102809e-13,26
X12H.RES,clbK,0.00010520201386353,26
X3H.RES,clbL,7.21100797830526e-07,70
X12H.RES,clbL,8.101248102809e-13,26
X3H.RES,clbM,7.21100797830526e-07,70
X12H.RES,clbM,8.101248102809e-13,26
X3H.RES,clbG,7.21100797830526e-07,70
X12H.RES,clbG,8.101248102809e-13,26
X3H.RES,clbH,7.21100797830526e-07,70
X12H.RES,clbH,8.101248102809e-13,26
X3H.RES,clbF,7.21100797830526e-07,70
X12H.RES,clbF,8.101248102809e-13,26
X3H.RES,clbN,7.21100797830526e-07,70
X12H.RES,clbN,8.101248102809e-13,26
X3H.RES,clbD,7.21100797830526e-07,70
X12H.RES,clbD,8.101248102809e-13,26
X3H.RES,clbA,7.21100797830526e-07,70
X12H.RES,clbA,8.101248102809e-13,26
X3H.RES,clbQ,7.21100797830526e-07,70
X12H.RES,clbQ,8.101248102809e-13,26
X3H.RES,clbE,2.82855338922314e-06,70
X12H.RES,clbE,1.25244391477555e-11,26
X3H.RES,clbI,2.82855338922314e-06,70
X12H.RES,clbI,1.25244391477555e-11,26
X12H.RES,pcoA,9.67531249084982e-05,26
X57H.NTP_transf_2,pcoA,0.00766559211869584,27
X61H.CcdB,pcoA,0.000227327799745511,57
X12H.RES,pcoE,0.000113226313205459,26
X57H.NTP_transf_2,pcoE,0.00882064544980449,27
X61H.CcdB,pcoE,0.000298278218789028,57
