Variable_1,Variable_2,FDR,Copies
X1P.ParE_toxin,Phylogroup,1.6942277912683e-18,229
X3P.Fic,Phylogroup,2.38754344751637e-15,240
X4P.ParE_toxin,Phylogroup,4.78636916160724e-14,153
X5P.PIN,Phylogroup,7.34841310042308e-22,236
X7P.ParE_toxin.ParE.like_toxin,Phylogroup,0.000457058047189027,235
X9P.RelE,Phylogroup,0.000401724947992685,238
X19P.RelE,Phylogroup,1.86332228170147e-17,25
X21P.CcdB,Phylogroup,6.81164390888085e-06,142
X22P.PemK_toxin,Phylogroup,3.40094231145975e-13,45
X30P.Gp49,Phylogroup,2.71891352335537e-09,156
X32P.HD,Phylogroup,1.07568858799306e-11,208
X36P.RelE,Phylogroup,0.000248619682230131,243
X39P.HigB_toxin,Phylogroup,0.00123205538100189,5
X45P.HicA_toxin,Phylogroup,3.61621869451664e-08,8
X58P.CcdB,Phylogroup,6.43143600067673e-07,126
X62P.AntA.Bro.N,Phylogroup,0.00918367245450803,36
X63P.Zeta_toxin,Phylogroup,7.3957195080419e-11,10
X65P.HD,Phylogroup,4.88308256608018e-24,18
X70P.Gp49,Phylogroup,9.22839717871039e-29,40
X77P.Gp49,Phylogroup,2.82125550024639e-27,39
X98P.GNAT_acetyltran,Phylogroup,0.00476871435414515,4
X111P.YdaT_toxin,Phylogroup,0.00975303366330031,6
X124P.Fic,Phylogroup,0.00210776875831928,5
X168P.Fic,Phylogroup,3.61621869451664e-08,8
X11P.Zeta_toxin,Country,1.47967433524395e-10,85
X40P.DUF4111.NTP_transf_2,Country,0.000593072349119996,21
X48P.CcdB,Country,2.07210972875021e-05,57
X27P.Gp49,Acquisition,0.00217179552896797,103
X6P.PIN,Host,0.00104857956982912,139
X30P.Gp49,Host,0.00687273869042822,156
X51P.PIN,Host,0.00135614959019957,10
X1P.ParE_toxin,Infection_status,1.20725824053025e-07,229
X3P.Fic,Infection_status,2.01961095229058e-08,240
X5P.PIN,Infection_status,1.45252621121404e-08,236
X13P.RES,Infection_status,0.000205192292933552,70
X46P.RES,Infection_status,0.00140077749090976,26
X70P.Gp49,Infection_status,3.81937845939479e-08,40
X77P.Gp49,Infection_status,1.59181588310688e-07,39
X105P.RES,Infection_status,0.00140077749090976,26
X6P.PIN,iutA,6.9365219108538e-05,139
X13P.RES,iutA,4.44383516138773e-08,70
X46P.RES,iutA,8.94309180655308e-24,26
X92P.RES,iutA,7.07167743546287e-07,9
X105P.RES,iutA,8.94309180655308e-24,26
X46P.RES,fyuA,3.18110857673285e-05,26
X51P.PIN,fyuA,0.00139784904476423,10
X105P.RES,fyuA,3.18110857673285e-05,26
X6P.PIN,iucA,0.00052087711801122,139
X13P.RES,iucA,8.86304591208538e-11,70
X46P.RES,iucA,4.84539143162521e-23,26
X92P.RES,iucA,7.38050740034206e-06,9
X105P.RES,iucA,4.84539143162521e-23,26
X13P.RES,iucC,0.000233075837200506,70
X46P.RES,iucC,2.02585438825173e-10,26
X105P.RES,iucC,2.02585438825173e-10,26
X6P.PIN,iucD,3.81731420633221e-05,139
X13P.RES,iucD,2.41242484666722e-09,70
X46P.RES,iucD,3.0695489634944e-28,26
X92P.RES,iucD,8.69421473729967e-08,9
X105P.RES,iucD,3.0695489634944e-28,26
X6P.PIN,iucB,6.9365219108538e-05,139
X13P.RES,iucB,4.44383516138773e-08,70
X46P.RES,iucB,8.94309180655308e-24,26
X92P.RES,iucB,7.07167743546287e-07,9
X105P.RES,iucB,8.94309180655308e-24,26
X46P.RES,allA,0.000344749142774145,26
X98P.GNAT_acetyltran,allA,0.00788298008768222,4
X105P.RES,allA,0.000344749142774145,26
X46P.RES,ybbW,0.000233075837200506,26
X98P.GNAT_acetyltran,ybbW,0.00687273869042822,4
X105P.RES,ybbW,0.000233075837200506,26
X46P.RES,allB,0.000233075837200506,26
X98P.GNAT_acetyltran,allB,0.00687273869042822,4
X105P.RES,allB,0.000233075837200506,26
X46P.RES,ybbY,0.000233075837200506,26
X98P.GNAT_acetyltran,ybbY,0.00687273869042822,4
X105P.RES,ybbY,0.000233075837200506,26
X46P.RES,allC,0.000344749142774145,26
X98P.GNAT_acetyltran,allC,0.00788298008768222,4
X105P.RES,allC,0.000344749142774145,26
X46P.RES,allD,0.000344749142774145,26
X98P.GNAT_acetyltran,allD,0.00788298008768222,4
X105P.RES,allD,0.000344749142774145,26
X46P.RES,allS,0.000344749142774145,26
X98P.GNAT_acetyltran,allS,0.00788298008768222,4
X105P.RES,allS,0.000344749142774145,26
X46P.RES,allR,0.000344749142774145,26
X98P.GNAT_acetyltran,allR,0.00788298008768222,4
X105P.RES,allR,0.000344749142774145,26
X6P.PIN,rmpA,3.09917809666919e-05,139
X13P.RES,rmpA,1.01495629326867e-05,70
X18P.Phage_pRha,rmpA,0.000954868302251333,18
X46P.RES,rmpA,8.66310600375878e-19,26
X51P.PIN,rmpA,0.00346729754664738,10
X92P.RES,rmpA,8.84403880276797e-07,9
X105P.RES,rmpA,8.66310600375878e-19,26
X13P.RES,clbB,8.02305842631261e-07,70
X46P.RES,clbB,7.57732568689374e-13,26
X105P.RES,clbB,7.57732568689374e-13,26
X13P.RES,clbR,8.02305842631261e-07,70
X46P.RES,clbR,7.57732568689374e-13,26
X105P.RES,clbR,7.57732568689374e-13,26
X13P.RES,clbO,7.13911044880532e-08,70
X46P.RES,clbO,1.19731469233955e-11,26
X47P.YdaT_toxin,clbO,0.00651658505788964,37
X105P.RES,clbO,1.19731469233955e-11,26
X13P.RES,clbC,8.02305842631261e-07,70
X46P.RES,clbC,7.57732568689374e-13,26
X105P.RES,clbC,7.57732568689374e-13,26
X13P.RES,clbP,8.02305842631261e-07,70
X46P.RES,clbP,7.57732568689374e-13,26
X105P.RES,clbP,7.57732568689374e-13,26
X46P.RES,clbK,0.000115030999781348,26
X105P.RES,clbK,0.000115030999781348,26
X13P.RES,clbL,8.02305842631261e-07,70
X46P.RES,clbL,7.57732568689374e-13,26
X105P.RES,clbL,7.57732568689374e-13,26
X13P.RES,clbM,8.02305842631261e-07,70
X46P.RES,clbM,7.57732568689374e-13,26
X105P.RES,clbM,7.57732568689374e-13,26
X13P.RES,clbG,8.02305842631261e-07,70
X46P.RES,clbG,7.57732568689374e-13,26
X105P.RES,clbG,7.57732568689374e-13,26
X13P.RES,clbH,8.02305842631261e-07,70
X46P.RES,clbH,7.57732568689374e-13,26
X105P.RES,clbH,7.57732568689374e-13,26
X13P.RES,clbF,8.02305842631261e-07,70
X46P.RES,clbF,7.57732568689374e-13,26
X105P.RES,clbF,7.57732568689374e-13,26
