Toxin_Cluster, Antitoxin1, Antitoxin2,Count, Category, on_contig, vir, amr, plasmid, avg_contig_length, sd_contig_length
-,170P,-,1,rare,(-;-;-:1),,,,6585.0,0.0
-,155P,-,1,rare,(-;-;-:1),,,,1383.0,0.0
-,113P,-,3,rare,(-;-;-:3),,,,4369.0,1266.38488094
-,199P,-,4,rare,(-;-;-:4),,,,46936.0,35367.7856743
-,106P,-,1,rare,(-;mrkH_16;-:1),,,,6407.0,0.0
-,5P,-,236,lin,(-;-;-:233) (-;-;pENTAS02:2) (OqxBgb_Flq;-;-:1),mrkI,OqxA_Flq,,61747.8728814,57688.7207268
-,231P,-,1,rare,(-;iroC_1;-:1),,,,45923.0,0.0
-,247P,-,1,rare,(AadA4-5_AGly;-;-:1),,,,2259.0,0.0
-,241P,-,1,rare,(-;-;-:1),,,,183781.0,0.0
-,221P,-,1,rare,(SHV-OKP-LEN_Bla;-;-:1),,,,902369.0,0.0
-,41P,-,15,spo_amr_vir_plasmid,(-;-;-:14) (-;silS_4;-:1),,,IncFIB_K_,6165.26666667,4193.22292064
-,239P,-,1,rare,(-;-;-:1),,,,858.0,0.0
-,214P,-,2,rare,(-;-;-:2),,,,111088.5,2197.5
-,92P,-,9,spo_amr_vir_plasmid,(-;iroB_20;-:1) (-;iroC_1;-:3) (-;iroC_32;-:1) (-;-;-:3) (-;iroC_13;-:1),iutA/iucA/iucD/iucB/rmpA/pbrA/pbrR/pbrBC/iroN/iroD/iroB/iroC/terZ/terD/terE/terW/terB/terA/terC/terX/terY,,,21794.4444444,9950.20793877
-,37P,-,21,rare,(-;-;-:20) (-;silR_11;-:1),,,,67333.4761905,74738.0582279
-,192P,-,2,rare,(-;-;-:2),,,,71411.5,10200.5
-,138P,-,2,rare,(-;-;-:1) (TetA_Tet;-;-:1),,,,8929.5,7411.5
-,82P,-,1,rare,(-;-;-:1),,,,88319.0,0.0
-,29P,-,27,spo_amr_vir_plasmid,(-;-;-:19) (CatBx_Phe;-;-:8),pcoA/pcoE/pcoC/pcoD/pcoR/silE/silC/silS/silR,,IncFIB_K_,11698.3333333,10252.9026279
