ID,domain,total,num_structs,color,operons,count,vals,label_color,class
13H,Gp49,156,1,missing kp2,X_13H_30P,156,1,#9BD3F2,lin
16H,ParE,235,2,missing kp1,X_16H_7P,82,0.34893617,black,lin
16H,ParE,235,2,specific kp1,7P_16H_4P,153,0.65106383,black,lin
17H,RelE,282,4,#d3d3d3,9P_17H_36P,199,0.705673759,black,lin
17H,RelE,282,4,#d3d3d3,X_17H_36P,12,0.042553191,black,lin
17H,RelE,282,4,#d3d3d3,X_17H_9P,39,0.138297872,black,lin
17H,RelE,282,4,#d3d3d3,73P_17H_36P,32,0.113475177,black,lin
21H,PIN,238,3,missing kp2,X_21H_5P,235,0.987394958,#9BD3F2,lin
21H,PIN,238,3,#d3d3d3,X_21H_31P,2,0.008403361,#9BD3F2,lin
21H,PIN,238,3,#d3d3d3,5P_21H_212P,1,0.004201681,#9BD3F2,lin
25H,Gp49,40,2,missing kp1,70P_25H_77P,39,0.975,#F7DFB4,lin
25H,Gp49,40,2,#d3d3d3,X_25H_70P,1,0.025,#F7DFB4,lin
26H,ParE,230,2,#d3d3d3,X_26H_127P,1,0.004347826,#9BD3F2,lin
26H,ParE,230,2,missing kp2,X_26H_1P,229,0.995652174,#9BD3F2,lin
2H,PemK,65,5,#d3d3d3,101P_2H_171P,1,0.015384615,#009C73,lin
2H,PemK,65,5,#d3d3d3,X_2H_101P,11,0.169230769,#009C73,lin
2H,PemK,65,5,#d3d3d3,101P_2H_146P,8,0.123076923,#009C73,lin
2H,PemK,65,5,#d3d3d3,22P_2H_115P,1,0.015384615,#009C73,lin
2H,PemK,65,5,specific kp3,X_2H_22P,44,0.676923077,#009C73,lin
33H,RelE,26,2,#d3d3d3,X_33H_155P,1,0.038461538,#009C73,lin
33H,RelE,26,2,specific kp3,X_33H_19P,25,0.961538462,#009C73,lin
37H,Bro-N,42,4,#d3d3d3,X_37H_26P,3,0.071428571,#54B3E8,lin
37H,Bro-N,42,4,#d3d3d3,62P_37H_26P,24,0.571428571,#54B3E8,lin
37H,Bro-N,42,4,#d3d3d3,62P_37H_42P,7,0.166666667,#54B3E8,lin
37H,Bro-N,42,4,#d3d3d3,X_37H_62P,8,0.19047619,#54B3E8,lin
42H,YdaT,63,8,#d3d3d3,X_42H_119P,3,0.047619048,black,lin
42H,YdaT,63,8,#d3d3d3,54P_42H_28P,11,0.174603175,black,lin
42H,YdaT,63,8,#d3d3d3,133P_42H_28P,1,0.015873016,black,lin
42H,YdaT,63,8,specific kp3,47P_42H_28P,36,0.571428571,black,lin
42H,YdaT,63,8,#d3d3d3,X_42H_47P,1,0.015873016,black,lin
42H,YdaT,63,8,specific kp2,X_42H_111P,6,0.095238095,black,lin
42H,YdaT,63,8,#d3d3d3,210P_42H_28P,2,0.031746032,black,lin
42H,YdaT,63,8,#d3d3d3,X_42H_133P,3,0.047619048,black,lin
51H,HigB,7,2,#d3d3d3,X_51H_147P,2,0.285714286,#F7DFB4,lin
51H,HigB,7,2,specific kp3,X_51H_39P,5,0.714285714,#F7DFB4,lin
64H,Fic,5,2,#d3d3d3,124P_64H_201P,1,0.2,#F7DFB4,lin
64H,Fic,5,2,specific kp2,X_64H_124P,4,0.8,#F7DFB4,lin
7H,Fic,240,2,specific kp3,3P_7H_168P,8,0.033333333,#9BD3F2,lin
7H,Fic,240,2,missing kp2,X_7H_3P,232,0.966666667,#9BD3F2,lin
87H,HicA,8,1,specific kp3,X_87H_45P,8,1,#009C73,lin
9H,Zeta,95,2,specific kp3,X_9H_63P,10,0.105263158,#009C73,lin
9H,Zeta,95,2,#d3d3d3,X_9H_11P,85,0.894736842,#009C73,lin
100H,PemK,3,2,#d3d3d3,X_100H_211P,2,0.666666667,black,rare
100H,PemK,3,2,#d3d3d3,X_100H_245P,1,0.333333333,black,rare
101H,RES,1,1,#d3d3d3,X_101H_169P,1,1,black,rare
102H,DUF488,1,1,#d3d3d3,X_102H_191P,1,1,black,rare
103H,CcdB,1,1,#d3d3d3,X_103H_159P,1,1,black,rare
104H,HicA,1,1,#d3d3d3,241P_104H_246P,1,1,black,rare
105H,PemK,1,1,#d3d3d3,X_105H_187P,1,1,black,rare
106H,AbiEii,5,3,#d3d3d3,X_106H_227P,1,0.2,black,rare
106H,AbiEii,5,3,#d3d3d3,X_106H_166P,2,0.4,black,rare
106H,AbiEii,5,3,#d3d3d3,X_106H_184P,2,0.4,black,rare
107H,Bro-N,5,1,#d3d3d3,X_107H_107P,5,1,black,rare
108H,HigB,1,1,#d3d3d3,X_108H_125P,1,1,black,rare
109H,CcdB,4,1,#d3d3d3,X_109H_64P,4,1,black,rare
110H,YdaT,1,1,#d3d3d3,X_110H_151P,1,1,black,rare
111H,Zeta,1,1,#d3d3d3,X_111H_156P,1,1,black,rare
112H,PIN,1,1,#d3d3d3,X_112H_10P,1,1,black,rare
113H,YafQ,2,1,#d3d3d3,X_113H_138P,2,1,black,rare
114H,AntA,2,1,#d3d3d3,X_114H_150P,2,1,black,rare
115H,ParE,5,2,#d3d3d3,X_115H_196P,2,0.4,black,rare
115H,ParE,5,2,#d3d3d3,X_115H_113P,3,0.6,black,rare
116H,Phage_pRha,1,1,#d3d3d3,X_116H_94P,1,1,black,rare
117H,Fic,1,1,#d3d3d3,X_117H_230P,1,1,black,rare
118H,CcdB,2,1,#d3d3d3,X_118H_163P,2,1,black,rare
119H,PIN,1,1,#d3d3d3,X_119H_6P,1,1,black,rare
120H,HD,1,1,#d3d3d3,X_120H_194P,1,1,black,rare
121H,HicA,1,1,#d3d3d3,X_121H_206P,1,1,black,rare
122H,ParE,2,1,#d3d3d3,X_122H_160P,2,1,black,rare
123H,Fic,2,1,#d3d3d3,X_123H_116P,2,1,black,rare
124H,YdaT,1,1,#d3d3d3,X_124H_114P,1,1,black,rare
125H,Bro-N,2,1,#d3d3d3,107P_125H_26P,2,1,black,rare
126H,CbtA,2,1,#d3d3d3,X_126H_145P,2,1,black,rare
127H,YafQ,1,1,#d3d3d3,X_127H_53P,1,1,black,rare
128H,DUF488,1,1,#d3d3d3,X_128H_219P,1,1,black,rare
129H,RelE,1,1,#d3d3d3,X_129H_131P,1,1,black,rare
130H,Fic,2,2,#d3d3d3,X_130H_129P,1,0.5,black,rare
130H,Fic,2,2,#d3d3d3,X_130H_220P,1,0.5,black,rare
131H,PemK,4,3,#d3d3d3,110P_131H_178P,1,0.25,black,rare
131H,PemK,4,3,#d3d3d3,X_131H_110P,2,0.5,black,rare
131H,PemK,4,3,#d3d3d3,110P_131H_158P,1,0.25,black,rare
132H,Peptidase_M78,1,1,#d3d3d3,X_132H_153P,1,1,black,rare
133H,CbtA,2,1,#d3d3d3,X_133H_198P,2,1,black,rare
134H,YafO,1,1,#d3d3d3,X_134H_71P,1,1,black,rare
135H,DUF4111,1,1,#d3d3d3,X_135H_247P,1,1,black,rare
136H,ParE,1,1,#d3d3d3,X_136H_224P,1,1,black,rare
137H,HipA,1,1,#d3d3d3,X_137H_89P,1,1,black,rare
138H,YafO,1,1,#d3d3d3,X_138H_165P,1,1,black,rare
139H,YafO,2,1,#d3d3d3,X_139H_190P,2,1,black,rare
140H,Phage_pRha,1,1,#d3d3d3,X_140H_177P,1,1,black,rare
141H,ParE,1,1,#d3d3d3,X_141H_141P,1,1,black,rare
142H,HD,1,1,#d3d3d3,X_142H_243P,1,1,black,rare
143H,AHSA1,1,1,#d3d3d3,X_143H_85P,1,1,black,rare
144H,Phage_pRha,1,1,#d3d3d3,X_144H_57P,1,1,black,rare
145H,ParE,1,1,#d3d3d3,X_145H_228P,1,1,black,rare
146H,DUF4258,1,1,#d3d3d3,X_146H_162P,1,1,black,rare
147H,CcdB,1,1,#d3d3d3,X_147H_242P,1,1,black,rare
148H,PemK,1,1,#d3d3d3,X_148H_239P,1,1,black,rare
19H,DUF488,9,2,#d3d3d3,X_19H_181P,7,0.777777778,black,rare
19H,DUF488,9,2,#d3d3d3,X_19H_128P,2,0.222222222,black,rare
1H,Bro-N,15,2,#d3d3d3,X_1H_136P,11,0.733333333,black,rare
1H,Bro-N,15,2,#d3d3d3,X_1H_118P,4,0.266666667,black,rare
29H,YdaT,8,4,#d3d3d3,104P_29H_182P,1,0.125,black,rare
29H,YdaT,8,4,#d3d3d3,126P_29H_68P,2,0.25,black,rare
29H,YdaT,8,4,#d3d3d3,X_29H_104P,1,0.125,black,rare
29H,YdaT,8,4,#d3d3d3,104P_29H_68P,4,0.5,black,rare
30H,YdaT,6,1,#d3d3d3,X_30H_68P,6,1,black,rare
31H,HicA,6,1,#d3d3d3,X_31H_52P,6,1,black,rare
32H,AbiEii,10,1,#d3d3d3,X_32H_102P,10,1,black,rare
36H,YdaT,1,1,#d3d3d3,X_36H_213P,1,1,black,rare
38H,HipA,1,1,#d3d3d3,X_38H_137P,1,1,black,rare
39H,HicA,3,1,#d3d3d3,X_39H_193P,3,1,black,rare
40H,PemK,9,1,#d3d3d3,X_40H_87P,9,1,black,rare
43H,PIN,1,1,#d3d3d3,X_43H_229P,1,1,black,rare
46H,Phage_pRha,2,1,#d3d3d3,X_46H_148P,2,1,black,rare
47H,CbtA,1,1,#d3d3d3,X_47H_84P,1,1,black,rare
48H,Gp49,3,1,#d3d3d3,X_48H_134P,3,1,black,rare
