Strain,1P-ParE_toxin,2P-ParE_toxin,3P-Fic,4P-ParE_toxin,5P-PIN,6P-PIN,7P-ParE_toxin-ParE-like_toxin,8P-GNAT_acetyltran,9P-RelE,10P-PIN,11P-Zeta_toxin,12P-DUF3749,13P-RES,14P-HigB_toxin,15P-Polyketide_cyc2,16P-HigB_toxin,17P-Gp49,18P-Phage_pRha,19P-RelE,20P-HipA_C,21P-CcdB,22P-PemK_toxin,23P-ParE_toxin,24P-HipA_C-Couple_hipA,25P-HipA_C,26P-Bro-N-AntA,27P-Gp49,28P-YdaT_toxin,29P-NTP_transf_2,30P-Gp49,31P-PIN,32P-HD,33P-YdaT_toxin,34P-Fic,35P-Cpta_toxin,36P-RelE,37P-Phage_pRha,38P-CbtA_toxin,39P-HigB_toxin,40P-DUF4111-NTP_transf_2,41P-ParE_toxin,42P-AntA,43P-Fic,44P-ParE_toxin,45P-HicA_toxin,46P-RES,47P-YdaT_toxin,48P-CcdB,49P-CbtA_toxin,50P-HD_3,51P-PIN,52P-HicA_toxin-Bro-N,53P-YafQ_toxin,54P-YdaT_toxin,55P-DUF955,56P-Gp49,57P-Phage_pRha,58P-CcdB,59P-HipA_C,60P-DUF955,61P-YdaT_toxin,62P-AntA-Bro-N,63P-Zeta_toxin,64P-CcdB,65P-HD,66P-DUF4111,67P-Gp49,68P-YdaT_toxin,69P-RES,70P-Gp49,71P-YafO_toxin,72P-Phage_pRha,73P-RelE,74P-CbtA_toxin,75P-CbtA_toxin,76P-YdaT_toxin,77P-Gp49,78P-Gp49,79P-ParE_toxin,80P-YdaT_toxin,81P-HD,82P-Fic,83P-Phage_pRha,84P-CbtA_toxin,85P-AHSA1,86P-Phage_pRha,87P-PemK_toxin,88P-CbtA_toxin,89P-HipA_C,90P-YafO_toxin,91P-AntA,92P-RES,93P-YdaT_toxin,94P-Phage_pRha,95P-ParE_toxin,96P-ParE_toxin,97P-ANT,98P-GNAT_acetyltran,99P-YdaT_toxin,100P-PIN,101P-PemK_toxin,102P-AbiEii,103P-PIN,104P-YdaT_toxin,105P-RES,106P-RES,107P-Bro-N,108P-YafO_toxin,109P-Bro-N,110P-PemK_toxin,111P-YdaT_toxin,112P-HD,113P-ParE_toxin,114P-YdaT_toxin,115P-PemK_toxin,116P-Fic,117P-YdaT_toxin,118P-Bro-N,119P-YdaT_toxin,120P-Bro-N,121P-YdaT_toxin,122P-Phage_pRha,123P-YdaT_toxin,124P-Fic,125P-HigB_toxin,126P-YdaT_toxin,127P-ParE_toxin,128P-DUF488,129P-Fic,130P-ParE_toxin,131P-RelE,132P-CbtA_toxin,133P-YdaT_toxin,134P-Gp49,135P-Fic,136P-Bro-N,137P-HipA_C,138P-YafQ_toxin,139P-Bro-N,140P-HD,141P-ParE_toxin,142P-PemK_toxin,143P-CcdB,144P-Bro-N,145P-CbtA_toxin,146P-PemK_toxin,147P-HigB_toxin,148P-Phage_pRha,149P-Bro-N,150P-AntA,151P-YdaT_toxin,152P-Gp49,153P-Peptidase_M78,154P-HigB-like_toxin,155P-RelE,156P-Zeta_toxin,157P-CbtA_toxin,158P-PemK_toxin,159P-CcdB,160P-ParE_toxin,161P-ANT,162P-DUF4258,163P-CcdB,164P-HigB-like_toxin,165P-YafO_toxin,166P-AbiEii,167P-DUF3749,168P-Fic,169P-RES,170P-CbtA_toxin,171P-PemK_toxin,172P-HicA_toxin,173P-Fic,174P-CbtA_toxin,175P-Gp49,176P-YdaT_toxin,177P-Phage_pRha,178P-PemK_toxin,179P-CbtA_toxin,180P-ANT,181P-DUF488,182P-YdaT_toxin,183P-HigB_toxin,184P-AbiEii,185P-CbtA_toxin,186P-Bro-N,187P-PemK_toxin,188P-AbiEii,189P-ParE_toxin,190P-YafO_toxin,191P-DUF488,192P-YdaT_toxin,193P-HicA_toxin,194P-HD,195P-HD,196P-ParE_toxin,197P-Bro-N,198P-CbtA_toxin,199P-AntA,200P-Phage_pRha,201P-Fic,202P-HD_3,203P-Phage_pRha,204P-PIN,205P-DUF4111,206P-HicA_toxin,207P-DUF4111,208P-HigB-like_toxin,209P-HigB-like_toxin,210P-YdaT_toxin,211P-PemK_toxin,212P-PIN,213P-YdaT_toxin,214P-ParE_toxin,215P-DUF955,216P-Phage_pRha,217P-CbtA_toxin,218P-YdaT_toxin,219P-DUF488,220P-Fic,221P-YdaT_toxin,222P-Peptidase_M78,223P-DUF4111,224P-ParE_toxin,225P-ParE_toxin,226P-Phage_pRha,227P-AbiEii,228P-ParE_toxin,229P-PIN,230P-Fic,231P-RES,232P-YdaT_toxin,233P-HipA_C,234P-CbtA_toxin,235P-HigB-like_toxin,236P-HD,237P-CbtA_toxin,238P-PIN,239P-PemK_toxin,240P-PIN,241P-HicA_toxin,242P-CcdB,243P-HD,244P-Couple_hipA,245P-PemK_toxin,246P-HicA_toxin,247P-DUF4111
5235_6#5,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5151_6#2,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5151_2#2,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5193_3#1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5299_7#9,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5193_5#7,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5150_5#5,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5193_6#9,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5151_5#2,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5193_1#6,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
