Toxin_Cluster, Antitoxin1, Antitoxin2,Count, Category, on_contig, vir, amr, plasmid, avg_contig_length, sd_contig_length
84H,-,215P,2,rare,(-;-;-:1) (OqxBgb_Flq;-;-:1),,,,109330.5,23928.5
10H,-,32P,207,lin,(OqxBgb_Flq;irp1_48;-:1) (-;irp2_101;-:1) (-;irp1_34;-:1) (-;irp1_17;-:2) (-;irp1_50;-:1) (OqxBgb_Flq;-;-:2) (-;irp1_1;-:2) (-;irp1_116;-:1) (-;irp2_88;-:1) (-;silS_4;-:2) (-;irp1_36;-:3) (-;irp1_6;-:1) (-;irp1_49;-:1) (OqxBgb_Flq;silS_4;-:1) (-;irp1_35;-:1) (-;irp1_33;-:3) (-;irp1_43;-:1) (-;mceG_2;-:4) (SHV-OKP-LEN_Bla;-;-:2) (-;-;-:171) (-;mrkH_16;-:1) (-;irp1_15;-:1) (-;irp1_37;-:2) (-;irp1_47;-:1),mrkJ,,,178229.458937,186700.225054
34H,-,34P,251,ubiq,(-;-;-:245) (CatBx_Phe;-;-:1) (-;silR_11;-:1) (OqxBgb_Flq;-;-:4),,,,97013.6374502,76196.715693
2H,101P,171P,1,rare,(CatBx_Phe;-;-:1),,,,43780.0,0.0
122H,-,160P,2,rare,(-;-;IncFIB(K):1) (-;iutA_17;IncFIB(K):1),,,,37784.0,31381.0
23H,-,93P,5,rare,(-;-;-:4) (AmpH_Bla;-;-:1),,,,108264.0,136232.713886
5H,-,15P,258,ubiq,(-;silS_4;-:2) (OqxBgb_Flq;mrkC_1;-:1) (-;-;IncFIB(K):1) (OqxBgb_Flq;mrkC_37;-:1) (OqxBgb_Flq;-;-:111) (OqxBgb_Flq;silR_11;-:1) (OqxBgb_Flq;mrkC_38;-:1) (OqxBgb_Flq;silS_4;-:1) (-;-;-:133) (OqxBgb_Flq;mrkC_53;-:1) (OqxBgb_Flq;mrkC_75;-:2) (OqxBgb_Flq;mrkC_40;-:2) (OqxBgb_Flq;mrkC_2;-:1),,,,81600.7984496,102069.729902
4H,6P,204P,1,rare,(-;-;-:1),,,,4945.0,0.0
29H,104P,182P,1,rare,(-;-;-:1),,,,3791.0,0.0
69H,38P,217P,1,rare,(OqxBgb_Flq;-;-:1),,,,120051.0,0.0
132H,-,153P,1,rare,(-;-;-:1),,,,1963.0,0.0
110H,-,151P,1,rare,(-;-;-:1),,,,50156.0,0.0
75H,203P,122P,1,rare,(SHV-OKP-LEN_Bla;-;-:1),,,,106991.0,0.0
80H,-,18P,9,spo_amr_vir_plasmid,(-;-;-:3) (-;kvgS_6;-:3) (-;mrkC_6;-:1) (-;mrkC_2;-:1) (-;mrkC_1;-:1),iucD,,,83457.1111111,88573.3677072
67H,-,152P,7,rare,(-;-;-:7),,,,27132.0,18075.1941147
14H,-,27P,103,spo_amr_vir_plasmid,(-;-;-:101) (SulI_Sul;-;-:1) (CatBx_Phe;-;-:1) (-;-;IncFII:2),,AacAad_AGly_3/AadA_AGly/AadA_AGly_2/CatBx_Phe/SulI_Sul/DfrA_Tmt_1/OXA_1_Bla,IncFIB_K_/IncFII/IncFII_K_,3826.81904762,7983.38254099
133H,-,198P,2,rare,(-;-;-:1) (OqxBgb_Flq;-;-:1),,,,55916.5,53551.5
33H,-,155P,1,rare,(-;-;-:1),,,,1383.0,0.0
10H,-,112P,1,rare,(-;-;-:1),,,,33528.0,0.0
42H,-,119P,3,rare,(-;-;-:3),,,,49672.0,40098.7803389
51H,-,147P,2,rare,(-;-;-:2),,,,11410.5,1118.5
22H,-,8P,246,lin,(-;silS_4;-:3) (-;-;IncFII:1) (SHV-OKP-LEN_Bla;-;-:18) (-;-;-:221) (MphA_MLS;-;-:1) (-;silR_11;-:2),,,,182883.284553,180686.739482
75H,72P,18P,5,rare,(-;mrkC_49;-:2) (-;-;-:2) (-;silS_4;-:1),,,,83005.2,68817.7420071
56H,-,218P,1,rare,(-;-;-:1),,,,75460.0,0.0
60H,-,20P,7,spo_amr_vir_plasmid,(-;-;-:4) (-;terC_1;-:1) (-;terD_2;-:1) (TEM-1D_Bla;pbrA_1;-:1),,Qnr_A_Flq,IncHI2/IncHI2A,33730.0,23004.9533548
117H,-,230P,1,rare,(-;-;-:1),,,,55878.0,0.0
23H,33P,76P,2,rare,(-;-;-:2),,,,143202.5,26610.5
106H,-,227P,1,rare,(-;-;-:1),,,,12060.0,0.0
130H,-,129P,1,rare,(-;-;-:1),,,,33656.0,0.0
41H,-,154P,6,spo_amr_vir_plasmid,(-;-;-:2) (-;-;IncFIB(Mar):4),terZ/terD/terE/terW/terB/terA/terC,,IncFIB_Mar_,37493.1666667,15825.2982322
45H,-,75P,1,rare,(-;-;-:1),,,,118011.0,0.0
42H,54P,28P,11,rare,(-;-;-:10) (-;iutA_39;-:1),,,,85623.8181818,75117.7020328
143H,-,85P,1,rare,(-;-;-:1),,,,18026.0,0.0
39H,-,193P,3,rare,(-;-;-:3),,,,11598.3333333,7343.86030792
35H,-,14P,59,spo_amr_vir_plasmid,(-;-;-:56) (-;mrkH_16;-:1) (-;silS_4;-:1) (-;iroC_4;-:1),,,IncHI1B,3164.50847458,6754.10855846
76H,-,235P,1,rare,(-;-;-:1),,,,6000.0,0.0
23H,-,80P,43,spo_no_assoc,(-;-;-:42) (SulI_Sul;-;-:1) (SHV-OKP-LEN_Bla;-;-:1),,,,96246.4318182,82500.0671367
3H,13P,106P,1,rare,(-;mrkH_16;-:1),,,,6407.0,0.0
23H,61P,76P,2,rare,(-;-;-:2),,,,16966.5,4381.5
100H,-,211P,2,rare,(-;-;-:2),,,,88461.0,87723.0
4H,6P,51P,10,spo_amr_vir_plasmid,(-;irp2_88;-:1) (-;irp1_36;-:1) (-;iroN_5;-:2) (-;iroC_18;-:1) (-;iroC_19;-:2) (-;-;-:1) (-;iutA_17;IncFIB(K):1) (-;irp1_17;-:1),fyuA/rmpA/iroN/iroD/iroB/ybtQ/ybtP/ybtE/ybtS/ybtU/ybtA/ybtT,,,76797.2,100009.665911
3H,-,13P,57,spo_amr_vir_plasmid,(-;silS_4;-:11) (-;iroB_10;-:1) (-;iroC_13;-:2) (-;iroC_4;-:6) (-;iroC_20;-:1) (-;-;-:36),iucA/clbB/clbR/clbO/clbC/clbP/clbL/clbM/clbG/clbH/clbF/clbN/clbD/clbA/clbQ/clbE/clbI/pbrA/mceI/mceG/mceJ/mceD/mceC/mceE/mceA/mceB/terZ/terD/terE/terW/terB/terA/terC/terX/terY,,IncHI1B,9406.75438596,8705.79983584
68H,-,186P,2,rare,(-;-;-:2),,,,98534.5,29446.5
33H,-,19P,25,lin,(-;-;-:22) (-;-;Col(Ye4449):3),mrkJ2/mrkI3/kfuB/kfuC/kfuA,,,42230.44,48252.0119001
95H,-,90P,1,rare,(-;-;-:1),,,,21769.0,0.0
45H,-,38P,2,rare,(-;-;-:2),,,,24876.5,15223.5
28H,-,149P,2,rare,(-;-;-:1) (AmpH_Bla;-;-:1),,,,151619.0,100794.0
73H,-,80P,2,rare,(-;-;-:2),,,,1920.5,399.5
20H,-,207P,2,rare,(SulI_Sul;-;-:1) (CmlA_Phe;-;IncR:1),,,,24182.0,18658.0
140H,-,177P,1,rare,(-;-;-:1),,,,16711.0,0.0
73H,123P,76P,5,rare,(-;-;-:5),,,,86650.2,102607.134291
1H,-,136P,11,rare,(-;-;-:11),,,,63873.2727273,37467.8624693
46H,-,148P,2,rare,(-;-;-:2),,,,90447.5,22838.5
106H,-,166P,2,rare,(-;-;-:2),,,,29131.5,13039.5
48H,-,134P,3,rare,(-;-;-:3),,,,7937.33333333,1678.90725043
4H,6P,240P,1,rare,(-;-;-:1),,,,9651.0,0.0
114H,-,150P,2,rare,(-;-;-:2),,,,273901.5,257856.5
42H,133P,28P,1,rare,(SHV-OKP-LEN_Bla;-;-:1),,,,902369.0,0.0
2H,-,101P,11,spo_amr_vir_plasmid,(-;-;-:6) (TEM-1D_Bla;-;IncFIB(AP001918):1) (CatBx_Phe;-;-:1) (-;-;IncFII:3),,AacAad_AGly_3/AadA_AGly/SulI_Sul/CTX_M_1_Bla/OXA_1_Bla,IncFI,11330.8181818,23971.7585611
49H,-,78P,15,rare,(-;-;IncFII(pMET):1) (TetA_Tet;-;-:2) (-;-;IncFII(pCRY):3) (Qnr-S_Flq;-;-:2) (-;-;-:2) (CatBx_Phe;-;-:4) (-;-;IncR:1),,,,19045.6,18732.4016463
79H,-,83P,6,rare,(-;-;-:6),,,,36643.1666667,77929.1611688
135H,-,247P,1,rare,(AadA4-5_AGly;-;-:1),,,,2259.0,0.0
25H,70P,77P,39,lin,(-;-;-:38) (-;silS_4;-:1),mrkJ2/mrkI2/mrkI3/kfuB/kfuA,SHV_OKP_LEN_Bla_2,,94546.5641026,88423.0503806
42H,47P,28P,36,spo_amr_vir_plasmid,(-;-;-:32) (-;iutA_34;-:1) (-;silR_11;-:1) (-;iutA_39;-:1) (OqxBgb_Flq;iutA_39;-:1),clbO/kfuC/mceI/mceG/mceJ/mceH/mceD/mceC/mceE/mceA/mceB,,,70112.7222222,77840.7703094
116H,-,94P,1,rare,(-;-;-:1),,,,15592.0,0.0
54H,-,197P,3,rare,(-;-;-:2) (OqxBgb_Flq;-;-:1),,,,82464.3333333,93225.8416261
70H,-,49P,5,rare,(-;-;-:4) (OqxBgb_Flq;mrkC_37;-:1),,,,182756.2,308333.599659
24H,-,67P,12,spo_amr_vir_plasmid,(SulI_Sul;-;-:1) (StrB_AGly;-;IncA/C2:1) (TetA_Tet;-;IncA/C2:2) (CatBx_Phe;-;IncA/C2:3) (-;-;IncA/C2:3) (CTX-M-1_Bla;-;IncA/C2:1) (SulI_Sul;-;IncA/C2:1),,AadA_AGly/AadB_AGly/RmtB_AGly/CmlA_Phe/FloR_Phe/SulII_Sul/TetA_Tet/TetG_Tet/TetRG_Tet/TetR_Tet/Arr_Rif/Dfr23_Tmt/CTX_M_1_Bla/OXA_7_Bla/TEM_1D_Bla/VEB_1_Bla,IncA_C,69050.5,38815.0898674
139H,-,190P,2,rare,(-;-;-:2),,,,111088.5,2197.5
144H,-,57P,1,rare,(-;-;-:1),,,,24521.0,0.0
111H,-,156P,1,rare,(-;-;-:1),,,,39921.0,0.0
21H,-,5P,235,lin,(-;-;-:232) (-;-;pENTAS02:2) (OqxBgb_Flq;-;-:1),mrkJ/mrkI,OqxA_Flq,,61950.8255319,57727.1977891
36H,-,213P,1,rare,(-;-;-:1),,,,15592.0,0.0
7H,3P,168P,8,lin,(-;-;-:8),mrkJ2/mrkI3/kfuC,,,95846.875,58771.0814079
99H,-,130P,1,rare,(-;-;-:1),,,,50486.0,0.0
18H,-,58P,56,lin,(-;-;-:50) (-;silS_4;-:2) (SHV-OKP-LEN_Bla;-;-:4),mrkJ2/mrkI3/kfuC/mceI/mceG/mceJ/mceD/mceC/mceE/mceA/mceB,,,139686.714286,121481.914563
1H,-,118P,4,rare,(-;-;-:4),,,,48077.0,40607.3715291
21H,-,31P,2,rare,(-;-;-:2),,,,54823.0,40769.0
23H,-,192P,2,rare,(-;-;-:2),,,,71411.5,10200.5
93H,-,108P,2,rare,(-;-;-:1) (-;mrkC_37;-:1),,,,155839.0,142525.0
115H,-,196P,2,rare,(-;-;ColRNAI:2),,,,5666.0,1.0
121H,-,206P,1,rare,(-;-;-:1),,,,2514.0,0.0
29H,126P,68P,2,rare,(-;-;-:2),,,,31218.5,25004.5
108H,-,125P,1,rare,(-;-;-:1),,,,9169.0,0.0
131H,110P,178P,1,rare,(-;-;-:1),,,,5893.0,0.0
136H,-,224P,1,rare,(-;-;-:1),,,,7209.0,0.0
146H,-,162P,1,rare,(-;-;-:1),,,,1105.0,0.0
79H,226P,83P,1,rare,(-;-;-:1),,,,10964.0,0.0
23H,-,61P,9,rare,(-;-;-:9),,,,86977.0,67273.3122651
19H,-,181P,7,rare,(-;-;-:7),,,,67269.5714286,20205.597816
29H,-,104P,1,rare,(-;-;-:1),,,,137418.0,0.0
17H,9P,36P,199,spo_no_assoc,(-;-;-:196) (OqxBgb_Flq;-;-:3),,,,62672.1105528,40715.8518006
41H,-,209P,1,rare,(-;-;-:1),,,,31228.0,0.0
28H,-,109P,22,rare,(-;-;-:19) (AmpH_Bla;-;-:3),,,,71665.6818182,92295.5573753
37H,-,26P,3,rare,(-;-;-:2) (OqxBgb_Flq;-;-:1),,,,75492.0,35701.5393786
44H,-,44P,3,rare,(-;-;-:1) (-;-;ColRNAI:1) (-;-;Col(MGD2):1),,,,5037.0,3401.16048823
20H,-,66P,5,rare,(TEM-1D_Bla;-;IncFIB(AP001918):1) (SulI_Sul;-;-:1) (AadA_AGly;-;-:3),,,,21377.8,32596.4602029
141H,-,141P,1,rare,(-;-;-:1),,,,3357.0,0.0
3H,13P,92P,9,spo_amr_vir_plasmid,(-;iroB_20;-:1) (-;iroC_1;-:3) (-;iroC_32;-:1) (-;-;-:3) (-;iroC_13;-:1),iutA/iucA/iucD/iucB/rmpA/pbrA/pbrR/pbrBC/iroN/iroD/iroB/iroC/terZ/terD/terE/terW/terB/terA/terC/terX/terY,,,21794.4444444,9950.20793877
59H,180P,97P,1,rare,(OqxBgb_Flq;-;-:1),,,,413423.0,0.0
44H,44P,23P,16,spo_amr_vir_plasmid,(-;-;-:5) (-;-;ColRNAI:11),,,ColRNAI,7410.375,3150.51904206
100H,-,245P,1,rare,(-;-;-:1),,,,20704.0,0.0
83H,-,100P,2,rare,(-;-;-:2),,,,16554.5,14998.5
79H,-,37P,4,rare,(-;-;-:3) (-;silR_11;-:1),,,,130322.5,132756.736568
104H,241P,246P,1,rare,(-;-;-:1),,,,183781.0,0.0
6H,-,17P,119,spo_amr_vir_plasmid,(-;-;-:115) (Penicillin_Binding_Protein_Ecoli_Bla;-;-:1) (AmpH_Bla;gcl_6;-:1) (-;silS_4;-:1) (AmpH_Bla;-;-:1),kfuB/kfuC/kfuA,,,57149.7647059,94626.894998
102H,-,191P,1,rare,(-;-;-:1),,,,126164.0,0.0
26H,-,127P,1,rare,(-;-;-:1),,,,205690.0,0.0
77H,-,164P,3,rare,(-;-;-:3),,,,5216.33333333,2180.30843893
105H,-,187P,1,rare,(-;-;-:1),,,,3529.0,0.0
2H,101P,146P,8,spo_amr_vir_plasmid,(-;-;-:8),,,IncL_M/IncL_M_pMU407_,18491.75,6335.50451326
37H,62P,26P,24,rare,(-;-;-:16) (AmpH_Bla;silS_4;-:1) (AmpH_Bla;-;-:6) (OqxBgb_Flq;-;-:1) (-;fdrA_3;-:1),,,,114358.68,104649.735748
82H,-,96P,2,rare,(-;-;-:1) (TEM-1D_Bla;-;IncFIB(AP001918):1),,,,43813.5,42476.5
25H,-,70P,1,rare,(-;-;-:1),,,,16385.0,0.0
23H,80P,76P,8,rare,(-;-;-:8),,,,142347.5,118487.660244
134H,-,71P,1,rare,(-;-;-:1),,,,40626.0,0.0
63H,-,202P,2,rare,(-;-;-:2),,,,208900.0,72705.0
12H,46P,105P,26,spo_amr_vir_plasmid,(-;pbrA_1;-:1) (-;-;IncFIB(K):4) (-;silC_1;-:1) (-;pbrA_4;IncFIB(K):1) (-;pbrA_3;-:1) (-;-;-:13) (-;pbrA_4;-:5),iutA/fyuA/iucA/iucC/iucD/iucB/allA/ybbW/allB/ybbY/allC/allD/allS/allR/rmpA/clbB/clbR/clbO/clbC/clbP/clbK/clbL/clbM/clbG/clbH/clbF/clbN/clbD/clbA/clbQ/clbE/clbI/pcoA/pcoE/pcoS/pcoC/pcoD/pcoB/pcoR/pbrA/pbrR/pbrBC/mceI/mceG/mceJ/mceH/mceD/mceC/mceE/mceA/mceB/iroN/iroD/iroB/iroC/silE/silC/silS/terZ/terD/terE/terW/terB/terA/terC/terX/terY/gcl/fdrA/ylbE/KP1_1364/glxK/arcC/glxR/ylbF/KP1_1371/hyi/ybtQ/ybtP/ybtE/ybtS/ybtX/irp2/ybtU/ybtA/ybtT,,,22892.8076923,17019.0063572
4H,6P,238P,1,rare,(-;mrkH_16;IncR:1),,,,14494.0,0.0
10H,32P,236P,1,rare,(-;-;-:1),,,,14840.0,0.0
45H,74P,132P,8,rare,(-;-;-:8),,,,57409.5,26070.4605301
23H,-,33P,7,rare,(-;-;-:7),,,,111655.714286,129871.175931
45H,74P,234P,1,rare,(-;-;-:1),,,,29790.0,0.0
18H,-,21P,73,lin,(-;-;-:60) (MphA_MLS;-;-:1) (-;silS_4;-:2) (SHV-OKP-LEN_Bla;-;-:10),mrkI,,,193184.369863,195829.039061
94H,-,214P,2,rare,(-;-;-:2),,,,111088.5,2197.5
55H,-,216P,2,rare,(-;-;-:2),,,,95857.0,18335.0
18H,58P,143P,1,rare,(-;-;-:1),,,,28480.0,0.0
29H,104P,68P,4,rare,(-;-;-:4),,,,46732.5,55162.2297795
89H,-,140P,1,rare,(-;-;-:1),,,,67609.0,0.0
18H,58P,21P,69,lin,(-;-;-:54) (-;silR_11;-:1) (SHV-OKP-LEN_Bla;iutA_39;-:1) (SHV-OKP-LEN_Bla;-;-:13),mrkI2,SHV_OKP_LEN_Bla_2,,228248.942029,219206.030037
107H,-,107P,5,rare,(-;-;-:5),,,,33017.0,18881.912562
17H,-,36P,12,rare,(-;-;-:12),,,,57448.9166667,39391.1187631
92H,-,208P,1,rare,(-;-;-:1),,,,4847.0,0.0
8H,-,12P,236,ubiq,(-;-;-:65) (-;mrkH_16;-:1) (OqxBgb_Flq;-;-:168) (OqxBgb_Flq;silS_4;-:2),,,,182096.95339,158196.638901
62H,95P,79P,1,rare,(-;-;IncFIB(K):1),,,,9768.0,0.0
20H,-,223P,1,rare,(OXA-9_Bla;-;-:1),,,,2646.0,0.0
45H,-,179P,2,rare,(-;-;-:2),,,,45326.0,3579.0
47H,-,84P,1,rare,(-;-;-:1),,,,56094.0,0.0
17H,-,9P,39,spo_no_assoc,(-;-;-:39),,,,60371.8974359,56159.3779258
62H,95P,41P,15,spo_amr_vir_plasmid,(-;-;-:14) (-;silS_4;-:1),,,IncFIB_K_,6165.26666667,4193.22292064
9H,-,63P,10,lin,(-;-;-:10),mrkJ2/mrkI3/kfuA,,,212854.5,188625.62292
27H,24P,244P,1,rare,(SHV-OKP-LEN_Bla;-;-:1),,,,198385.0,0.0
20H,-,205P,1,rare,(CARB_Bla;-;-:1),,,,2652.0,0.0
58H,-,56P,1,rare,(-;-;-:1),,,,8550.0,0.0
22H,98P,8P,4,lin,(-;-;-:3) (SHV-OKP-LEN_Bla;-;-:1),allA/ybbW/allB/ybbY/allC/allD/allS/allR/mrkI2/gcl/fdrA/ylbE/KP1_1364/glxK/arcC/glxR/ylbF/KP1_1371,SHV_OKP_LEN_Bla_2,,278555.0,160318.688468
27H,-,24P,240,ubiq,(Aac3-IIa_AGly;-;-:1) (-;silS_4;-:1) (SHV-OKP-LEN_Bla;kfuC_28;-:3) (SHV-OKP-LEN_Bla;pcoA_7;-:1) (SHV-OKP-LEN_Bla;iutA_39;-:1) (SHV-OKP-LEN_Bla;silS_4;-:1) (Qnr-S_Flq;-;-:1) (SHV-OKP-LEN_Bla;-;-:103) (-;-;-:124) (MphA_MLS;-;-:1) (SHV-OKP-LEN_Bla;mrkH_16;-:1) (-;silR_11;-:1) (SHV-OKP-LEN_Bla;iutA_35;-:1),,,,188816.4,178633.905714
